__table__,date,campaign_id,campaign_name,status,budget,spend,revenue,orders,views,clicks,roi,cpo
__table__,date,campaign_id,campaign_name,catalog_id,catalog_name,spend,revenue,orders,views,clicks,cpc
me_ads_catalog,2026-06-19,22247405.0,1244938 - 5/28/2026,240904591.0,,13.9,216.0,1.0,6512.0,115.0,0.28
me_ads_catalog,2026-06-19,22247405.0,1244938 - 5/28/2026,253299780.0,,21.23,0.0,0.0,7514.0,316.0,0.12
me_ads_catalog,2026-06-19,22247405.0,1244938 - 5/28/2026,254976942.0,,17.55,257.0,1.0,4737.0,173.0,0.12
me_ads_catalog,2026-06-19,22247405.0,1244938 - 5/28/2026,278626865.0,,4.61,0.0,0.0,361.0,11.0,0.12
me_ads_catalog,2026-06-19,22247405.0,1244938 - 5/28/2026,278661137.0,,7.24,0.0,0.0,510.0,12.0,0.12
me_ads_catalog,2026-06-19,22247405.0,1244938 - 5/28/2026,457389552.0,,41.53,295.0,1.0,12876.0,294.0,0.12
me_ads_catalog,2026-06-19,22247405.0,1244938 - 5/28/2026,490171946.0,,39.7,617.0,2.0,10124.0,280.0,0.12
me_ads_catalog,2026-06-20,22247405.0,1244938 - 5/28/2026,240904591.0,,39.16,621.0,3.0,14063.0,304.0,0.28
me_ads_catalog,2026-06-20,22247405.0,1244938 - 5/28/2026,253299780.0,,14.44,621.0,2.0,5307.0,198.0,0.12
me_ads_catalog,2026-06-20,22247405.0,1244938 - 5/28/2026,254976942.0,,20.76,261.0,1.0,3431.0,127.0,0.12
me_ads_catalog,2026-06-20,22247405.0,1244938 - 5/28/2026,278626865.0,,8.01,0.0,0.0,113.0,8.0,0.12
me_ads_catalog,2026-06-20,22247405.0,1244938 - 5/28/2026,278661137.0,,2.51,0.0,0.0,321.0,12.0,0.12
me_ads_catalog,2026-06-20,22247405.0,1244938 - 5/28/2026,457389552.0,,42.11,0.0,0.0,11371.0,257.0,0.12
me_ads_catalog,2026-06-20,22247405.0,1244938 - 5/28/2026,490171946.0,,51.89,310.0,1.0,11161.0,299.0,0.12
me_ads_catalog,2026-06-21,22247405,1244938 - 5/28/2026,240904591,,50.05,0.0,0,14465,309,0.28
me_ads_catalog,2026-06-21,22247405,1244938 - 5/28/2026,253299780,,18.43,0.0,0,6099,287,0.12
me_ads_catalog,2026-06-21,22247405,1244938 - 5/28/2026,254976942,,25.7,278.0,1,4234,160,0.12
me_ads_catalog,2026-06-21,22247405,1244938 - 5/28/2026,278626865,,11.2,0.0,0,105,7,0.12
me_ads_catalog,2026-06-21,22247405,1244938 - 5/28/2026,278661137,,0.34,0.0,0,341,12,0.12
me_ads_catalog,2026-06-21,22247405,1244938 - 5/28/2026,457389552,,48.08,0.0,0,13148,357,0.12
me_ads_catalog,2026-06-21,22247405,1244938 - 5/28/2026,490171946,,50.74,542.0,2,14703,385,0.12
__table__,campaign_id,campaign_name,status,budget,total_spend,total_revenue,total_orders,total_views,total_clicks,roi
